"star_age" "star_mass" "he_core_mass" "c_core_mass" "o_core_mass" "log_L" "log_LH" "log_LHe" "log_Teff" "log_g" "log_center_T" "log_center_Rho" "center_gamma" "center_h1" "center_he4" "center_c12" "phase"
"360" 4786566359.48812 0.999829522813541 0 0 0 0.052684481414689 0.0526306961099746 -41.7324901432508 3.76736506806182 4.40949366041101 7.20769570901816 2.22359172011603 0.113872958968088 0.306731392085599 0.677876377240361 7.76730892010345e-06 0
"361" 4828328892.27489 0.999827599020219 0 0 0 0.054394308914825 0.0543409227719308 -41.6754883156436 3.7674279147702 4.40803438410942 7.20858769850963 2.22737456943481 0.114470936396414 0.302681690850244 0.681919490223401 7.80985523256732e-06 0
"362" 4870094427.67333 0.999825674988088 0 0 0 0.056104323388451 0.0560513363339295 -41.6184804755155 3.76749076293025 4.40657492653726 7.20947978786215 2.23115792897948 0.115069047786528 0.298631718292863 0.685962873428129 7.85241500148907e-06 0
"363" 4913328756.88954 0.999823634137139 0 0 0 0.057905800074461 0.0578531761798042 -41.5585314780489 3.76755432120579 4.40502679646486 7.21042072645816 2.2351908767914 0.115732689544531 0.294449022574101 0.690138441539414 7.90155729401291e-06 0
"364" 4956563086.10574 0.99982159328619 0 0 0 0.0597072767604702 0.059655016025678 -41.4985824805823 3.76761787948132 4.40347866639246 7.21136166505417 2.23922382460331 0.116396331302534 0.29026632685534 0.694314009650698 7.95069958653672e-06 0
"365" 4999797415.32195 0.999819552435241 0 0 0 0.0615087534464802 0.0614568558715527 -41.4386334831156 3.76768143775685 4.40193053632006 7.21230260365017 2.24325677241523 0.117059973060537 0.286083631136578 0.698489577761983 7.99984187906056e-06 0
"366" 5043031744.53817 0.999817511584292 0 0 0 0.0633102301324902 0.0632586957174274 -41.378684485649 3.76774499603239 4.40038240624766 7.21324354224618 2.24728972022715 0.117723614818539 0.281900935417816 0.702665145873268 8.0489841715844e-06 0
"367" 5087580535.59771 0.999815360763132 0 0 0 0.0651970944493822 0.0651459427929745 -41.3160344313966 3.76780640092526 4.39874022723851 7.21422918955962 2.25155752486455 0.11845172893299 0.277609835856805 0.706948473107175 8.10630197211669e-06 0
"368" 5132228079.16368 0.999813201680162 0 0 0 0.0670903737433305 0.0670396063179901 -41.2531814529369 3.76786764403942 4.39709098254825 7.21521819573656 2.25584297375712 0.119184686707852 0.273310592163515 0.711239896037054 8.16423397983273e-06 0
"369" 5176875622.72964 0.999811042597192 0 0 0 0.0689836530372787 0.0689332698430058 -41.1903284744771 3.76792888715359 4.39544173785799 7.2162072019135 2.26012842264968 0.119917644482714 0.269011348470225 0.715531318966933 8.22216598754877e-06 0
"370" 5221665258.73047 0.999808870983587 0 0 0 0.0708866737511357 0.0708366648031331 -41.1271755827538 3.76799012776077 4.39378273627604 7.21720116784072 2.26444114276791 0.120658334861167 0.264701349431713 0.719833440093138 8.28117691671909e-06 0
"371" 5267666211.44457 0.999806592548191 0 0 0 0.072872738609862 0.0728230187892321 -41.0614659754038 3.76805134699631 4.39204055865458 7.21823741489586 2.26898634599802 0.121464944526418 0.26029966268698 0.724226761739802 8.34938548959898e-06 0
"372" 5313667164.15867 0.999804314112795 0 0 0 0.0748588034685883 0.0748093727753311 -40.9957563680537 3.76811256623186 4.39029838103313 7.219273661951 2.27353154922814 0.122271554191669 0.255897975942246 0.728620083386466 8.41759406247887e-06 0
"373" 5359668116.87275 0.999802035677399 0 0 0 0.0768448683273137 0.0767957267614293 -40.9300467607036 3.76817378546741 4.38855620341168 7.22030990900614 2.27807675245825 0.123078163856919 0.251496289197514 0.733013405033128 8.48580263535872e-06 0
"374" 5406318055.99414 0.999799696943675 0 0 0 0.0788781649430244 0.0788293242816748 -40.8629177130886 3.76823462494922 4.38676524882169 7.22136990396755 2.28275337129877 0.123923339037605 0.247050846730749 0.737450402484064 8.56044211193663e-06 0
